FIPS,State,County,PCT_DIABETES_ADULTS08,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS08,PCT_OBESE_ADULTS13,LACCESS_POP10,LACCESS_POP15,PCH_LACCESS_POP_10_15,PCT_LACCESS_POP10,PCT_LACCESS_POP15,LACCESS_LOWI10,LACCESS_LOWI15,PCH_LACCESS_LOWI_10_15,PCT_LACCESS_LOWI10,PCT_LACCESS_LOWI15,LACCESS_HHNV10,LACCESS_HHNV15,PCH_LACCESS_HHNV_10_15,PCT_LACCESS_HHNV10,PCT_LACCESS_HHNV15,LACCESS_SNAP15,PCT_LACCESS_SNAP15,FFR09,FFR14,PCH_FFR_09_14,FFRPTH09,FFRPTH14,PCH_FFRPTH_09_14,FSR09,FSR14,PCH_FSR_09_14,FSRPTH09,FSRPTH14,PCH_FSRPTH_09_14,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12,GROC09,GROC14,PCH_GROC_09_14,GROCPTH09,GROCPTH14,PCH_GROCPTH_09_14,SUPERC09,SUPERC14,PCH_SUPERC_09_14,SUPERCPTH09,SUPERCPTH14,PCH_SUPERCPTH_09_14,CONVS09,CONVS14,PCH_CONVS_09_14,CONVSPTH09,CONVSPTH14,PCH_CONVSPTH_09_14,SPECS09,SPECS14,PCH_SPECS_09_14,SPECSPTH09,SPECSPTH14,PCH_SPECSPTH_09_14,DIRSALES_FARMS07,DIRSALES_FARMS12,PCH_DIRSALES_FARMS_07_12,PCT_LOCLFARM07,PCT_LOCLFARM12,PCT_LOCLSALE07,PCT_LOCLSALE12,DIRSALES07,DIRSALES12,PCH_DIRSALES_07_12,PC_DIRSALES07,PC_DIRSALES12,PCH_PC_DIRSALES_07_12,FMRKT09,FMRKT16,PCH_FMRKT_09_16,FMRKTPTH09,FMRKTPTH16,PCH_FMRKTPTH_09_16
01001,AL,Autauga,11.4,13,31.5,34.1,18428.43969,17496.69304,-5.056025704,33.7696573,32.06225475,5344.427472,6543.676824,22.43924831,9.793530396,11.991125,664.2164872,677.6727692,2.025887979,3.284785556,3.351331631,931.9351864,4.608749253,30,36,20,0.55417013,0.649878148,17.27051178,34,29,-14.70588235,0.628059481,0.523512952,-16.64595977,649.511367,674.8027204,484.381507,512.2809873,6,4,-33.33333333,0.110834026,0.072208683,-34.84971568,1,1,0,0.0184723,0.0180522,-2.274573517,29,30,3.448275862,0.535697793,0.541565123,1.095268775,2,2,0,0.0369447,0.0361043,-2.274573517,25,51,104,6.024096386,13.11053985,0.596374046,1.554691838,100,308,208,1.908214865,5.582238333,192.5371998,2,1,-50,0.039404208,0.01804533,-54.20456186
01003,AL,Baldwin,9.8,10.4,26.2,27.4,35210.81408,30561.26443,-13.20489108,19.3184726,16.76748933,9952.144027,9886.831137,-0.656269542,5.460260624,5.424426597,1571.779915,1394.162766,-11.30038292,2.14782716,1.905114466,950.5352897,1.298900369,112,132,17.85714286,0.624282354,0.659633903,5.662750031,202,221,9.405940594,1.125937817,1.104387065,-1.914026824,649.511367,674.8027204,484.381507,512.2809873,24,29,20.83333333,0.13377479,0.14491957,8.331001294,6,6,0,0.0334437,0.0299834,-10.34675755,119,118,-0.840336134,0.663300001,0.589672732,-11.10014614,21,26,23.80952381,0.117052941,0.12992789,10.99925256,80,103,28.75,7.023705004,10.41456016,0.712634055,0.478010062,715,648,-9.370629371,4.147235563,3.403432845,-17.93490402,4,4,0,0.022237294,0.019178857,-13.75363799
01005,AL,Barbour,13.6,18.4,37.6,44.4,5722.305602,6069.523628,6.067799405,20.84097171,22.10556007,3135.676086,2948.790251,-5.959985343,11.42031572,10.73966657,406.1423722,425.1449274,4.678791595,4.135869371,4.329378079,422.5690403,4.30314705,21,22,4.761904762,0.759301443,0.818239298,7.762115521,12,15,25,0.433886539,0.55789043,28.57979693,649.511367,674.8027204,484.381507,512.2809873,5,5,0,0.180786058,0.185963477,2.863837542,0,1,,0,0.0371927,,14,19,35.71428571,0.506200962,0.706661212,39.60092238,2,2,0,0.072314423,0.074385391,2.863837542,18,13,-27.77777778,2.889245586,2.276707531,0.015403358,0.012457358,11,13,18.18181818,0.39629643,0.47866269,20.78400262,2,4,100,0.06725628,0.154053534,129.0544964
01007,AL,Bibb,11.1,14.8,32.3,40.3,1044.867327,969.378841,-7.224695844,4.559752683,4.230324421,491.4490662,596.1628288,21.30714448,2.144660992,2.601627008,275.060875,224.3881246,-18.42237664,3.458580095,2.821427444,53.81877202,0.676710323,7,5,-28.57142857,0.305130552,0.222162979,-27.19084435,6,5,-16.66666667,0.261540473,0.222162979,-15.05598507,649.511367,674.8027204,484.381507,512.2809873,6,5,-16.66666667,0.261540473,0.222162979,-15.05598507,1,1,0,0.0435901,0.0444326,1.932817915,19,15,-21.05263158,0.828211499,0.666488936,-19.5267227,0,1,,0,0.0444326,,12,13,8.333333333,5.687203791,6.878306878,,,46,20,-56.52173913,2.050093591,0.883314195,-56.91346977,1,1,0,0.046324177,0.044163759,-4.663692974
01009,AL,Blount,11.4,14.1,31.9,34.6,1548.175559,3724.428242,140.5688567,2.700840095,6.497380137,609.0277084,1650.959482,171.0811772,1.062467654,2.880149823,705.4667827,719.931444,2.050367451,3.269379844,3.336414144,175.3703384,0.812727493,24,21,-12.5,0.418548682,0.363831667,-13.07303488,19,15,-21.05263158,0.33135104,0.259879762,-21.56965553,649.511367,674.8027204,484.381507,512.2809873,6,6,0,0.104637171,0.103951905,-0.654897001,1,1,0,0.0174395,0.0173253,-0.654897001,31,27,-12.90322581,0.540625381,0.467783572,-13.47361997,2,0,-100,0.0348791,0,-100,84,88,4.761904762,5.940594059,7.0910556,0.267716732,0.277791808,429,495,15.38461538,7.62802276,8.56757131,12.31706538,1,1,0,0.017139429,0.017329821,1.110841536
01011,AL,Bullock,14.9,19.6,37.8,43,4089.983548,4141.900365,1.269364948,37.47465226,37.95034236,2199.359828,2154.7893,-2.026522788,20.15173014,19.74335074,272.8442583,415.8613008,52.41709811,7.285560969,11.10444061,225.322525,6.01662283,4,3,-25,0.364066624,0.2787068,-23.44620959,2,1,-50,0.182033312,0.092902267,-48.96413973,649.511367,674.8027204,484.381507,512.2809873,2,2,0,0.182033312,0.185804534,2.07172055,0,0,0,0,0,0,2,3,50,0.182033312,0.2787068,53.10758083,1,0,-100,0.091016656,0,-100,13,12,-7.692307692,4.693140794,4.395604396,0.10295127,0.106326422,42,58,38.0952381,3.814367451,5.468602678,43.36853353,1,1,0,0.091033227,0.096506466,6.012352828
01013,AL,Butler,15.1,17.7,36.8,36.3,1307.819706,1304.328756,-0.266928936,6.243470213,6.226804584,593.2251386,612.9347608,3.322452285,2.832029115,2.926121931,395.0316718,320.168301,-18.95123254,4.652357458,3.770678378,91.43779529,1.076878993,17,17,0,0.814683472,0.837603469,2.813362239,19,10,-47.36842105,0.910528586,0.492707923,-45.88770409,649.511367,674.8027204,484.381507,512.2809873,3,3,0,0.143767671,0.147812377,2.813362239,1,1,0,0.0479226,0.0492708,2.813362239,24,21,-12.5,1.150141372,1.034686638,-10.03830804,1,0,-100,0.0479226,0,-100,11,31,181.8181818,2.244897959,7.616707617,0.010500121,0.118930893,10,131,1210,0.478606298,6.419051352,1241.19659,2,2,0,0.100180325,0.100010001,-0.170017002
01015,AL,Calhoun,14.5,14.9,33.5,32.2,30901.15059,27785.98677,-10.08106093,26.06108574,23.43385181,11909.16286,10883.20997,-8.614819542,10.04382389,9.178566583,1252.150186,1235.289629,-1.346528287,2.64551813,2.60989548,1931.256358,4.080320208,95,103,8.421052632,0.802615682,0.888574485,10.70983344,67,77,14.92537313,0.566055271,0.66427413,17.35146089,649.511367,674.8027204,484.381507,512.2809873,25,27,8,0.211214653,0.232927292,10.27989234,3,3,0,0.0253458,0.0258808,2.111011422,88,74,-15.90909091,0.743475579,0.638393319,-14.13392221,2,1,-50,0.0168972,0.0086269,-48.94449429,35,50,42.85714286,4.761904762,8.445945946,0.11583962,0.308498317,80,285,256.25,0.688402991,2.42995754,252.9847446,2,2,0,0.017531403,0.017450332,-0.462433798
01017,AL,Chambers,16.1,16.4,35.5,39.7,6748.213223,7131.505717,5.679910836,19.72296719,20.84321414,3018.284747,3533.916216,17.08359259,8.821524906,10.32855828,616.6968134,730.2010667,18.40519536,4.426159574,5.24080289,502.6320283,3.607493206,22,26,18.18181818,0.63983248,0.763000352,19.25001868,19,16,-15.78947368,0.552582597,0.469538678,-15.02832677,649.511367,674.8027204,484.381507,512.2809873,7,7,0,0.203583062,0.205423172,0.903861956,1,1,0,0.0290833,0.0293462,0.903861956,22,23,4.545454545,0.63983248,0.67496185,5.490401135,1,2,100,0.0290833,0.0586923,101.8077239,15,22,46.66666667,4.464285714,7.3089701,1.028553884,0.803357314,67,67,0,1.922690619,1.966250917,2.265590609,1,1,0,0.029137529,0.029548208,1.409449517
01019,AL,Cherokee,13.6,13.3,31.5,33.6,79.41023456,103.5224989,30.36417718,0.305553252,0.398331982,34.48386235,57.46490172,66.64288106,0.132686376,0.2211124,378.7374593,299.8869228,-20.81931283,3.564252393,2.822199537,4.888563305,0.046005678,16,15,-6.25,0.618859751,0.576103238,-6.908918078,10,11,10,0.386787344,0.422475708,9.226869455,649.511367,674.8027204,484.381507,512.2809873,4,5,25,0.154714938,0.192034413,24.12144256,1,1,0,0.0386787,0.0384069,-0.70284595,14,18,28.57142857,0.541502282,0.691323885,27.66776949,1,1,0,0.0386787,0.0384069,-0.70284595,23,14,-39.13043478,3.516819572,2.495543672,0.0899985,0.025832257,54,31,-42.59259259,2.113254804,1.191253891,-43.62942468,1,1,0,0.040903141,0.038872692,-4.96404276
